gene,msi,component,r,r_abs
Pnmal2,mz.224.88294000000002,6,-0.14879,0.14879
Litaf,mz.228.965125,6,0.14878787,0.14878787
Gpr83,mz.565.525445,6,-0.14865875,0.14865875
Wdr6,mz.342.00199,6,-0.14863092,0.14863092
Ppp1r32,mz.208.84542,6,0.14860669,0.14860669
Cd9,mz.152.883785,6,0.14858904,0.14858904
Litaf,mz.171.006475,6,0.14853781,0.14853781
Synpr,mz.342.73335,6,-0.14836773,0.14836773
Wfs1,mz.362.79088,6,-0.14833629,0.14833629
Dlk1,mz.171.006475,6,-0.1481677,0.1481677
Vim,mz.301.764925,6,0.14814816,0.14814816
Dbi,mz.170.83334000000002,6,0.14808708,0.14808708
Gpr83,mz.288.768965,6,-0.14802127,0.14802127
Car2,mz.565.525445,6,0.14789502,0.14789502
Tsc22d4,mz.342.00199,6,0.1478152,0.1478152
Gsn,mz.286.77187000000004,6,0.14775479,0.14775479
Cd9,mz.150.88660499999997,6,0.14769414,0.14769414
Sept4,mz.421.939095,6,0.14754844,0.14754844
Ppp1r32,mz.282.77783,6,0.14751288,0.14751288
Cacng3,mz.573.512445,6,-0.14750913,0.14750913
Synpr,mz.288.768965,6,-0.14750405,0.14750405
Clic4,mz.150.886795,6,0.14748633,0.14748633
Gstm1,mz.573.512445,6,0.14742938,0.14742938
Clic4,mz.152.883785,6,0.14741844,0.14741844
Ppp1r32,mz.210.84250500000002,6,0.14726481,0.14726481
Tmem130,mz.463.998265,6,-0.14721812,0.14721812
Bcas1,mz.288.768965,6,0.14716576,0.14716576
Enpp2,mz.171.006475,6,0.14709215,0.14709215
Trf,mz.505.96179,6,0.14708607,0.14708607
Gsn,mz.288.768965,6,0.14700651,0.14700651
Wfs1,mz.344.73039,6,-0.14684057,0.14684057
Ppp1r32,mz.266.80385,6,0.146701,0.146701
Dbndd2,mz.284.77471,6,0.14633448,0.14633448
Stmn4,mz.171.006475,6,0.14631829,0.14631829
Vim,mz.305.75867,6,0.14626697,0.14626697
Cacng3,mz.360.7937,6,-0.14606631,0.14606631
Capsl,mz.266.80385,6,0.1460616,0.1460616
Fth1,mz.228.902955,6,0.1459688,0.1459688
Apod,mz.362.79088,6,0.14595999,0.14595999
Gpr83,mz.286.77187000000004,6,-0.14590177,0.14590177
Capsl,mz.326.75938,6,0.14588761,0.14588761
Sept4,mz.463.998265,6,0.14582756,0.14582756
Thrsp,mz.284.77471,6,0.14576072,0.14576072
Dbndd2,mz.565.525445,6,0.14567971,0.14567971
Ppp1r32,mz.569.518775,6,0.14566705,0.14566705
Dbndd2,mz.282.77783,6,0.14561571,0.14561571
Dlk1,mz.342.00199,6,-0.14559609,0.14559609
Cmtm5,mz.573.512445,6,0.14557785,0.14557785
Cd9,mz.150.886795,6,0.14551967,0.14551967
Gstm1,mz.284.77471,6,0.14551781,0.14551781
Gpr83,mz.305.75867,6,-0.14543188,0.14543188
Synpr,mz.344.73039,6,-0.14537677,0.14537677
Thrsp,mz.565.525445,6,0.14531328,0.14531328
Litaf,mz.342.00199,6,0.14530286,0.14530286
Vim,mz.573.512445,6,0.14520982,0.14520982
Dbndd2,mz.569.518775,6,0.14514151,0.14514151
Cd9,mz.305.75867,6,0.14491755,0.14491755
Cd9,mz.301.764925,6,0.14485854,0.14485854
Crym,mz.228.965125,6,-0.14475611,0.14475611
Spef2,mz.533.58042,6,0.14469,0.14469
Dbndd2,mz.286.77187000000004,6,0.1446289,0.1446289
Trf,mz.150.88660499999997,6,0.14462428,0.14462428
Thrsp,mz.228.965125,6,0.14455418,0.14455418
Gpr83,mz.152.883785,6,-0.14443977,0.14443977
Ppp1r32,mz.305.75867,6,0.14435968,0.14435968
Vim,mz.210.84250500000002,6,0.14426632,0.14426632
Ptma,mz.305.75867,6,0.14415036,0.14415036
