gene,w,component,w_abs
Ftx,0.012278257,6,0.012278257
Asic4,-0.012158952,6,0.012158952
S100a6,0.012073017,6,0.012073017
Gatm,-0.012058296,6,0.012058296
Mrps16,0.011983096,6,0.011983096
Slc44a1,-0.011882695,6,0.011882695
1600002K03Rik,-0.011864181,6,0.011864181
Gli2,0.011817828,6,0.011817828
Npc1,-0.011780891,6,0.011780891
Cd4,-0.011769233,6,0.011769233
Gm42756,0.011707347,6,0.011707347
Kap,0.011700393,6,0.011700393
Zfp964,0.011692415,6,0.011692415
P3h4,0.0115556745,6,0.0115556745
Paxx,0.011515875,6,0.011515875
Dennd4b,-0.011498335,6,0.011498335
Pmp22,-0.011315352,6,0.011315352
Gm48678,0.011133363,6,0.011133363
Eppk1,0.011112333,6,0.011112333
Tmem63a,-0.011001732,6,0.011001732
Sra1,-0.010918094,6,0.010918094
Pcdhb18,-0.010916941,6,0.010916941
Nprl3,-0.010857552,6,0.010857552
Myoc,0.010775602,6,0.010775602
Gpr83,0.010721066,6,0.010721066
Thrb,0.01064451,6,0.01064451
6430503K07Rik,0.010600216,6,0.010600216
Prok2,0.0105668,6,0.0105668
Bicc1,0.010555422,6,0.010555422
Gnmt,0.010531963,6,0.010531963
Cpxm1,0.010366046,6,0.010366046
Ankrd13a,-0.010325743,6,0.010325743
Gm50069,-0.010278343,6,0.010278343
Pth1r,0.010267469,6,0.010267469
Tsg101,0.010171255,6,0.010171255
Cmtm8,0.010164055,6,0.010164055
Kcnk13,-0.010048959,6,0.010048959
Slc16a1,0.010012615,6,0.010012615
Yjefn3,0.009961465,6,0.009961465
Arfip1,0.009933305,6,0.009933305
Golm1,-0.009918225,6,0.009918225
Armc4,0.009854714,6,0.009854714
Col15a1,0.009852779,6,0.009852779
Zdhhc16,-0.009850106,6,0.009850106
Kcnn4,0.009793348,6,0.009793348
Zfp229,0.0097819455,6,0.0097819455
Nckipsd,-0.009772157,6,0.009772157
Ebf1,0.009713066,6,0.009713066
Car2,-0.009696792,6,0.009696792
Rai2,0.009672647,6,0.009672647
Rnf122,0.009669378,6,0.009669378
Lat2,-0.00961081,6,0.00961081
Trub2,-0.009538747,6,0.009538747
Dusp26,0.009537656,6,0.009537656
Zfp445,-0.009448702,6,0.009448702
Tm7sf3,0.009431318,6,0.009431318
Olig1,0.009333162,6,0.009333162
2810457G06Rik,0.009292131,6,0.009292131
Mcam,0.009270213,6,0.009270213
Gm32005,0.00923695,6,0.00923695
Bcl7c,0.009186277,6,0.009186277
Hapln2,-0.00917517,6,0.00917517
1700012D14Rik,0.009141465,6,0.009141465
Zfp9,0.009135811,6,0.009135811
Gm9767,-0.009134311,6,0.009134311
