gene,w,component,w_abs
Cldnd1,0.0040537836,2,0.0040537836
Sp110,-0.0040233065,2,0.0040233065
Eml1,-0.004020272,2,0.004020272
Casq1,0.003962757,2,0.003962757
Cyp2d26,0.003949023,2,0.003949023
Neo1,0.0039404435,2,0.0039404435
Gm44644,-0.003938874,2,0.003938874
Gm12689,-0.0038901712,2,0.0038901712
Mid1,-0.0038886652,2,0.0038886652
Rab23,-0.0038625835,2,0.0038625835
Sowahc,-0.0038390583,2,0.0038390583
Etv1,0.003836277,2,0.003836277
Ttr,0.0038267116,2,0.0038267116
Cebpd,0.0038148477,2,0.0038148477
2810402E24Rik,-0.0037983775,2,0.0037983775
Gm32618,-0.0037978324,2,0.0037978324
Gm35021,0.0037970704,2,0.0037970704
Aqp4,0.003772175,2,0.003772175
Gm16499-1,0.003771819,2,0.003771819
Gm42658,0.00372074,2,0.00372074
Pex5l,-0.0037144257,2,0.0037144257
Ttc38,0.003710482,2,0.003710482
Slc2a1,0.0037002354,2,0.0037002354
Tigd2,-0.003699804,2,0.003699804
Sap130,-0.0036359818,2,0.0036359818
Ick,0.00361596,2,0.00361596
Rhobtb3,0.0035901205,2,0.0035901205
Hhip,0.0035651864,2,0.0035651864
Mavs,0.0035601426,2,0.0035601426
Gm10115,-0.0035473746,2,0.0035473746
Ptprn2,-0.003545337,2,0.003545337
Trip13,0.003540523,2,0.003540523
Sdc4,0.0035374134,2,0.0035374134
Nfic,0.0035315303,2,0.0035315303
Gm16299,-0.00351977,2,0.00351977
Gimap1,0.003507657,2,0.003507657
Mrap2,0.0035072698,2,0.0035072698
Cep112,0.003495785,2,0.003495785
Heatr3,-0.0034876058,2,0.0034876058
Ccnd2,-0.0034840251,2,0.0034840251
C1qc,0.0034751454,2,0.0034751454
Spr,0.0034669803,2,0.0034669803
Mboat1,0.003452235,2,0.003452235
Sall3,0.0034415284,2,0.0034415284
Gm10687,0.0034335705,2,0.0034335705
Fars2,-0.0034231797,2,0.0034231797
