gene,w,component,w_abs
Metap1d,3.3097328e-06,1,3.3097328e-06
Sfr1,-3.3035205e-06,1,3.3035205e-06
Dusp22,-3.297574e-06,1,3.297574e-06
Sec23b,3.2906935e-06,1,3.2906935e-06
Ubl4a,3.2884616e-06,1,3.2884616e-06
Dock10,-3.2872858e-06,1,3.2872858e-06
Shox2,-3.2865553e-06,1,3.2865553e-06
Tmem19,-3.2865532e-06,1,3.2865532e-06
Pcbd1,-3.279455e-06,1,3.279455e-06
Zscan20,-3.278849e-06,1,3.278849e-06
Gmeb2,3.275826e-06,1,3.275826e-06
Tprn,-3.2730038e-06,1,3.2730038e-06
Cd3eap,-3.2710002e-06,1,3.2710002e-06
Wif1,-3.2572914e-06,1,3.2572914e-06
Pogk,3.2522896e-06,1,3.2522896e-06
Pcdhb4,-3.2487815e-06,1,3.2487815e-06
Tmem184c,3.2480104e-06,1,3.2480104e-06
Cfap69,-3.2279181e-06,1,3.2279181e-06
Chst8,3.2252665e-06,1,3.2252665e-06
Adk,3.2198031e-06,1,3.2198031e-06
Cox11,3.2151559e-06,1,3.2151559e-06
Gm29170,-3.214867e-06,1,3.214867e-06
Lonp2,3.211849e-06,1,3.211849e-06
Cd84,3.2079695e-06,1,3.2079695e-06
Sh3bp5l,-3.204327e-06,1,3.204327e-06
Slc35a3,3.1976424e-06,1,3.1976424e-06
Gipr,-3.195002e-06,1,3.195002e-06
Pgbd1,-3.193598e-06,1,3.193598e-06
1700027A07Rik,-3.1858197e-06,1,3.1858197e-06
Tpmt,-3.1788252e-06,1,3.1788252e-06
Casq1,3.1780203e-06,1,3.1780203e-06
Cdsn,3.1558693e-06,1,3.1558693e-06
Hist2h2aa1,-3.1557956e-06,1,3.1557956e-06
Nfkb2,-3.1483316e-06,1,3.1483316e-06
Kxd1,3.1433499e-06,1,3.1433499e-06
Znrd1as,3.134911e-06,1,3.134911e-06
Rnd2,-3.1313336e-06,1,3.1313336e-06
Epx,-3.1219824e-06,1,3.1219824e-06
Pdgfc,3.108553e-06,1,3.108553e-06
H2-K1,3.0966512e-06,1,3.0966512e-06
